url,text
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-opposes-electoral-count-reform-act-for-reducing-congressional-ability-to-address-voter-fraud,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Rules Committee, voted against the Electoral Count Reform Act today during a committee mark-up and gave the following remarks:“This bill is a bad bill. … It’s bad policy and it’s bad for democracy. There are serious constitutional questions in the bill. The text of the Constitution, Article Two says, ‘Each State shall appoint, in such Manner as the Legislature thereof may direct, a Number of Electors.” This bill is Congress trying to intrude on the authority of the state legislatures to do that. But it’s also exceptionally bad policy.…“We know that Democrats aren’t opposed to objecting to elections and presidential electors. We know that because Democrats objected in 1969. And then they objected again in 2001. Then they objected again in 2005. And then they objected again in 2017. So Democrats have a long history of going up and objecting to electors.…“We also know that the Democrats are hell bent on federalizing elections. And this bill takes a significant step down that road of putting the federal government in charge of elections. That has been a top Democrat priority for some time.…“What this bill does is decreases the ability of Congress to address instances of fraud when it occurs, and I believe Congress has a responsibility to do that.…“I don’t believe senators from this side of the aisle should be supporting a bill that enhances the federalization of elections and reduces the ability of Congress to respond to the very serious problem of voter fraud. I think this bill does that, and so I intend to oppose it.”Listen to Sen. Cruz’s full remarks here.###"
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-adds-safeguards-to-protect-free-speech-in-journalism-antitrust-bill,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Judiciary Committee, today released the following statement regarding his amendment to the Journalism Competition and Preservation Act (JCPA) (S. 673):“Today I secured significant protections against Big Tech censorship with an amendment to the Journalism Competition and Preservation Act of 2022. The changes that I successfully fought for would prohibit the media and Big Tech from negotiating over or agreeing to censor content. The prohibition against censorship not only protects the content of the journalists whose outlets may be negotiating with Big Tech but it critically protects the speech of journalists and smaller media outlets who don’t have a seat at the table. This is a major win for free speech and it strikes a blow against the virtual monopoly that Big Tech has to limit the information that Americans see online. The bottom line is Big Tech hated this bill from the start and now they hate it even more.”        ###"
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-praised-for-ports-to-plains-legislative-victory-in-big-spring-texas,"BIG SPRING, Texas. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Committee on Commerce, Science, and Transportation, today spoke about his efforts to designate the portion of the Ports-to-Plains Corridor from Laredo, Texas up through New Mexico, as a future addition to the interstate highway system at the Ports-to-Plains Alliance annual conference. Afterwards, he held a press conference where he was joined by Ports-to-Plains Chairman John Osborne, San Angelo Mayor Brenda Gunter, Howard County Judge Kathryn Wiseman, and Lubbock County Judge Curtis Parrish.This year, Sen. Cruz won a bipartisan victory when he worked to build a coalition of Republicans and Democrats to pass two major amendments. The first was the Cruz-Warnock amendment extending I-14, running from the Permian Basin all the way to the Atlantic Ocean. That amendment passed unanimously into law, and it will help bring oil, gas, and crops from west Texas all the way east to the Atlantic.The second amendment, the Cruz-Lujan amendment, designated I-27, part of the Ports-to-Plains Corridor, as a future addition to the interstate highway system. This amendment also passed the Senate this year with bipartisan support and will positively impact 26 counties in Texas. It will lead to upgrades to critical parts of the highway system, and it will improve roadways that Texas farmers and ranchers need to get their products to market faster.About his work to designate a part of the Ports-to-Plains Corridor as a future interstate, Sen. Cruz said:“I was proud to champion this initiative to extend I-14 and designate I-27, the Ports-to-Plains Corridor, as a future addition to the interstate highway system. This is a $55 billion project that will create hundreds of thousands of jobs and will bring tens of billions of dollars of additional GDP to the state of Texas. It was a great bipartisan victory for Texas, and I was proud to bring it across the finish line.”Ports-to-Plains Alliance Chairman John Osborne said:“This has just been a fantastic set of meetings these last couple of days, highlighted this morning by our very own Sen. Ted Cruz coming and speaking with us, talking about the importance of trade and commerce—not just within Texas but more importantly with our greatest trading partner, Mexico, and up and down the Ports-to-Plains Corridor. We had a great session listening about how our I-27 designation bill got passed and I cannot say thank you enough to Sen. Ted Cruz for championing that effort.”San Angelo Mayor Brenda Gunter said:“Sen. Cruz has been instrumental in the fight for the Ports-to-Plains and the economic vitality of our state. I was proud to stand with him today and join the efforts to secure our state’s economic future.”Howard County Judge Kathryn Wiseman said:“I welcome Sen. Cruz so much to our city and our community, and I want to thank him for his work securing the Ports-to-Plains and the infrastructure that we will need to reach from Mexico to Canada. I’m so excited about it. Thank you.”Lubbock County Judge Curtis Parrish said:“I want to welcome the Senator to Big Spring and welcoming him to West Texas. This is Cruz country. We are honored that he has chosen to join with us here at the Ports-to-Plains conference. This Ports-to-Plains Corridor goes from Laredo to Canada, from Mexico to North Dakota. This project is a massive project that’s going to take all of us to work on it. The Senator knows that, and the Senator has done an incredible job in bringing together folks from both sides of the aisle. He recognizes that this is not a Republican issue, this is not a Democratic issue. This is an issue for all of us.” Background: ###"
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-wins-big-for-texas-in-the-coast-guard-authorization-act,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Commerce Committee, successfully offered eight amendments to the Coast Guard Authorization Act, including but not limited to the Military to Mariners Act, legislation that mandates real-time data sharing between U.S. Customs and Border Patrol (USCBP) and the U.S. Coast Guard (USCG), legislation that would mandate the acquisition of enhanced surveillance capabilities for the southern maritime boundary, and legislation that would explore the creation of a Coast Guard facility at Port Mansfield.About the amendments, Sen. Cruz said:“I am proud to have fought for each of these amendments, which will help increase the efficiency of Coast Guard operations on the Texas coast, and contribute to the safety and security of the State of Texas, especially South Texas, and the nation as a whole. These amendments will bolster our national security and will cut red tape so that our veterans have an obstruction-free path to success.”The Cruz-authored amendments include:###"
https://www.cruz.senate.gov/newsroom/blogs/e-newsletter_-week-of-september-9th,
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-introduces-the-sever-act-to-ban-iranian-president-raisi-from-entering-the-united-states,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Foreign Relations Committee, joined by Sens. Cotton (R-Ark.), Hagerty (R-Tenn.), Ernst (R-Iowa), Barrasso (R-Wyo.), and Rubio (R-Fla.), today introduced the Strengthening Entry Visa Enforcement and Restrictions Act of 2022 (SEVER Act) to prevent Iranian President Ibrahim Raisi from entering the United States to attend the upcoming opening session of the United Nations General Assembly.About the bill, Sen. Cruz said:“Iranian President Ebrahim Raisi would already be excluded from entering the United States for the U.N. General Assembly if President Biden and his administration were enforcing existing statutes in good faith. Raisi has a record of terrorist activities, including his advocacy for the assassination of President Trump and other U.S. officials. He is also listed by the State Department as ineligible for entering the United States because of mass atrocities he committed. Nevertheless, the Biden administration seems set on circumventing these restrictions.“The SEVER Act will deny entry to Raisi and the few dozen individuals who are hand-picked by the Ayatollah to repress the Iranian people and pose threats to American national security, to ensure they cannot get into the United States. It is well within the rights of the United States to deny them entry, and we absolutely should.”Read the bill here. ###"
https://www.cruz.senate.gov/newsroom/press-releases/senate-democrats-block-bills-to-protect-children-and-safeguard-schools,"WASHINGTON, D.C. – Today, Senate Democrats blocked the Securing Our Schools Act, a bill by U.S. Senators Ted Cruz (R-Texas) and John Barrasso (R-Wyo.) to improve school security and access to student mental health resources. He also blocked the Protect Our Children’s Schools Act, which would have allowed schools to use unspent previously appropriated federal COVID-19 education-related funding to improve school security.On the Senate floor, Sen. Cruz said:“There have been too damn many mass shootings. With kids going back in school all across the country, we need to again revisit what we can do to keep them safe from mass shooters.“Their parents are scared and they they've expressed concerns that the security measures at schools and Uvalde haven't improved enough to make them feel safe. Today, I want to put forth two bills that would address this problem inevitably when a mass murder occurs. “This bill would be the most serious, the most significant, the most major investment in school security Congress has ever enacted. This bill would double the number of police officers on campus.”In response to Sen. Chris Murphy (D-Conn.) objecting, Sen. Cruz said:“What we just saw reveals that the Democrats have one objective when a mass murder happens, and that is to take away the Second Amendment rights of law-abiding citizens. That is always, always, always their solution. Never mind that it doesn’t work. … If another lunatic attacks a school and there’s not a police officer at the front door to stop it, remember right now. Remember this moment when the Democrats said, ‘No, we will not protect our kids.’”The Securing Our Schools Act would:Sen. Cruz has a longstanding history of advocating for the security of students by improving school safety. In 2013, Sen. Cruz introduced Cruz-Grassley, a comprehensive effort to make schools and communities safer by simultaneously targeting violent criminals and safeguarding the Second Amendment. Earlier this year, Sen. Cruz introduced the Cruz-Barrasso Safe Kids, Safe Schools, Safe Communities Act to protect the Second Amendment, improve firearm safety, and prevent guns from falling into the wrong hands.Watch Sen. Cruz’s remarks here.Read the bill here.Watch CBS Dallas-Fort Worth’s coverage of the bill here.###"
https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-cantwell-introduce-military-to-mariners-act,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Commerce Committee, and U.S. Senator Maria Cantwell (D-Wash.), chairwoman of the Senate Commerce Committee, Senator Roger Wicker (R-Mississippi), Senator Tammy Baldwin (D- Wisconsin), and Senator Dan Sullivan (R-Alaska) today introduced and passed, as an amendment to the U.S. Coast Guard Authorization Act, in the Senate Commerce Committee a bill to reduce the burdens faced by members of the U.S. Armed Forces and veterans seeking to transition to careers as Merchant Mariners.About the bill, Sen. Cruz said:“Military to Mariners is a bipartisan win-win for our nation’s veterans, active service members and our maritime industry. This clears the path for some of our nation’s best to step into high demand, well-paying jobs as Merchant Mariners without being burdened by red tape. The men and women of our Armed Forces have the experience required for an industry that’s critical to our supply chain and our economy – ensuring American families have access to the goods they need. I’m incredibly proud to lead this fight for those who have served our country.”Sen. Cantwell said:“Veterans bring valuable skills to the workforce and the Military to Mariner program helps members of the armed forces gain the tools they need to find their next career opportunity within the maritime industry. The American maritime industry supports nearly 650,000 workers and I’m proud to sponsor this bill so we can provide additional skills, training and support so that more veterans can successfully transition to good jobs supporting our maritime supply chain.”Read the bill here.This bill will require the U.S. Coast Guard to:###"
https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-wicker-call-on-icao-to-end-exclusion-of-taiwan,"
“To maintain its status as a credible multilateral organization, we request that the ICAO allow Taiwan to meaningfully participate during this year’s assembly”WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Foreign Relations Committee, and U.S. Senator Roger Wicker tonight sent a letter to the International Civil Aviation Organization (ICAO) about their exclusion of the Taiwanese from meaningful participation in their tri-annual Assembly.In the letter, the Senators wrote:“It is simply not tenable that the organization continue to pursue that mission while excluding Taiwan, one of the world’s largest aviation systems. Aviation safety and global standards for safe and efficient aviation operations have no loyalty or political affiliation.“Next year Congress will take up, examine, and as needed revise the full range of our national policies related to aviation through the legislative reauthorization of the Federal Aviation Administration. To maintain its status as a credible multilateral organization, we request that the ICAO allow Taiwan to meaningfully participate during this year’s assembly.”This follows a previous letter Sen. Cruz sent in February 2020 to ICAO as they attempted to exclude Taiwan from their international response to the coronavirus. Read the letter here. ###"
https://www.cruz.senate.gov/newsroom/blogs/-enewsletter_-week-of-july-22nd,"Following a successful trip to the border, my boots are back on the ground in Washington, D.C. Better yet, this week I was accompanied by a very special guest, my daughter Catherine. As much as I enjoy visiting with Texans in our nation’s capital, nothing tops showing around one who calls me “Dad,” even if she steals my desk from time to time…As promised, I wanted to provide a more complete update on the situation at our southern border. President Biden has facilitated the creation of an absolutely chaotic situation there, but he has yet to travel down to the border as President to see it himself, let alone address the issues. Late Thursday evening last week, I arrived in McAllen and immediately joined Border Patrol’s midnight patrol.Let me tell you, following our meetings with Customs and Border Patrol, a Blackhawk tour of the border, a round table with local officials, and meeting with Texan landowners along the border, I can confidently say that I’ve never seen the southern border this bad. The latest numbers prove it. In June, 207,416 illegal immigrants were encountered at the border. If even the Mayor of New York is begging for assistance in the midst of the massive flood of illegal aliens coming in, imagine the burden it presents to those in Del Rio, McAllen, Laredo and elsewhere in Texas.On Wednesday, I led a press conference joined by Senators John Cornyn, John Barrasso, Joni Ernst, James Lankford, Ron Johnson, and John Hoeven to further detail our firsthand observations and experiences on the border. To hear all about our takeaways, click below. ↓   Yesterday, I introduced the Protect Our Children’s Schools Act, which is the Senate companion to legislation introduced by Rep. Randy Weber in the House.  Read the release here.This week, I was able to meet with some of Texas’ best and brightest individuals, from student leaders to oil industry executives. I was also proud to accept both the National Taxpayers Union’s “Taxpayers’ Friend” Award and receive Club for Growth’s Defender of Economic Freedom Award.  Rest assured, I will always be the fiercest advocate of securing our border and will lead the fight to ensure the safety of Texans and Americans alike. Keep Texas Strong,  MORE FROM SEN. CRUZ: WATCH: Spicer & Co.: ""Democrats see illegal aliens as potential voters""ICYMI: Sen. Cruz Grills Biden Admin. Nominee on Masking Political Agenda Under the Guise of “Settled Science”WATCH: Hannity “Sen. Cruz on Biden’s Worsening Border Crisis”ICYMI: Sen. Cruz Dismantles Gun-Control Reasoning from Democrats: “It’s ineffective.” STATE SPOTLIGHT: Texans I met with this week The National FFA Organization Texas State OfficersTexas Energy-Industry Small Business Owners"
https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-blackburn-introduce-bill-to-combat-racist-covid-19-vaccine-mandate-in-dc-schools,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Judiciary Committee, and U.S. Senator Marsha Blackburn (R-Tenn.) today introduced a bill that will protect students in Washington, D.C. public schools from the city’s COVID-19 vaccine mandate. Senators Jim Inhofe (R-Okla.), Cindy Hyde-Smith (R-Miss.), James Lankford (R-Okla.), Rick Scott (R-Fla.) and Roger Marshall (R-Kan.) also joined them.The D.C. school vaccine mandate would prohibit unvaccinated schoolkids from 12 to 15 years of age from attending school in person. The mandate is particularly harmful to black students, who are vaccinated at a lower rate than other students. D.C.’s vaccine mandate comes on the heels of two years of school shutdowns and remote learning – which led to substantial learning loss, particularly for students who were already struggling in school. If the D.C. vaccine mandate is enforced, many D.C. students may fall even further behind in school.Sen. Cruz said:“D.C. public schools are blatantly discriminating against black students in our nation’s capital. The rate of vaccination for black students between the ages of 12 and 15 in Washington, D.C. is 60 percent – far lower than the city average. D.C. schools has already postponed enforcement of this racist policy until 2023 and they should simply scrap it. Until they do, I will fight for the students of D.C. and work to end this mandate.”Sen. Blackburn said:“Right now, any news organization worth its subscription fee is running story after story with evidence that the left’s forever pandemic is destroying the mental and emotional well-being of children. Yet somehow, right here in our nation’s capital, leaders are depriving students of a basic education if they don’t comply with the District’s highly-politicized vaccine mandate. Getting vaccinated should be a decision between a patient, parent, and doctor – not politicians pressured by big teachers’ unions and radical activists.”Read the bill here.When the COVID-19 pandemic hit, Sen. Cruz led the fight against unlawful COVID-19 mandates by introducing the first and most sweeping bill to prohibit federal vaccine mandates. Sen. Cruz introduced the Parental Rights Protection Act to prohibit the federal government and any entity that receives federal funding from requiring COVID-19 vaccines for minors, and introduced legislation to end the Biden administration’s Centers for Disease Control and Prevention mask mandate for all Americans, regardless of vaccination status. Sen. Cruz has led his colleagues on amicus briefs against vaccine mandates on Navy SEALs and federal employees. ###"
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-issues-statement-in-observance-of-the-21st-anniversary-of-the-september-11th-terrorist-attacks,"WASHINGTON, D.C. – Today, Sen. Ted Cruz (R-Texas) released the following statement in remembrance of the lives lost 21 years ago from the September 11th terrorist attacks. “Today, on the somber anniversary of the most horrific terrorist attack in the history of the United States, I stand with millions of Americans in memory of the nearly 3,000 lives lost. We must never forget the victims of the acts of hate and mass murder committed that day by radical Islamic terrorists. On this day, 21 years later, let us remember not only the act of evil, and the lives lost, but also the unity of our country as we resolved to stand together in the face of adversity, as one nation.“I want to take this opportunity to thank all of our servicemen and women, first responders, and other Americans who answered the call of duty to defend our great nation in the wake of those attacks. It is because of your courageous sacrifices that our country remains a beacon of hope and freedom to this day. I will never forget. We will never forget. May God bless our men and women in uniform, and may God bless the United States of America.” ### "
https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-statement-on-democrats-withdrawing-journalism-bill-after-passage-of-his-free-speech-protection-amendment,"WASHINGTON, D.C. – U.S. Senator Ted Cruz (R-Texas), member of the Senate Judiciary Committee issued the following statement in response to Democrats withdrawing the Journalism Competition and Preservation Act (JCPA) after his amendment to protect Americans’ free speech rights from Big Tech censorship passed 11 to 10.Regarding these efforts, Sen. Cruz said:“What happened today was a huge victory for the First Amendment and free speech. Sadly, it is also a case study in how much the Democrats love censorship. They would rather pull their bill entirely than advance it with my proposed protections for Americans from unfair online censorship.”Click here to read the text of Sen. Cruz’s amendment.###"
