url,text
https://www.sinema.senate.gov/addressing-rising-crime-sinema-introduces-bipartisan-bill-keeping-arizona-communities-tribes-safe,"WASHINGTON – Arizona senior Senator Kyrsten Sinema introduced bipartisan legislation reauthorizing the U.S. Department of Justice’s Project Safe Neighborhood program to keep Arizona and Tribal communities safe. The Project Safe Neighborhood program brings together federal, state, local, and Tribal law enforcement, prosecutors, community leaders, and partners to identify and address the most pressing crime problems in their communities.
 
“Arizona communities should be safe – free of violence and crime. Our bipartisan legislation supporting the Project Safe Neighborhoods program will reduce violence, protect communities, and help ensure Arizona families are safe and secure,” said Sinema.
 
“The Project Safe Neighborhoods program has been proven to reduce violent crime in cities that participate by focusing law enforcement efforts on organized crime networks and repeat offenders,” said Cornyn. “By fostering partnerships between federal, state, and local law enforcement to address these criminal threats, we can take a more proactive approach to protecting our communities from violent criminals.”
 
Sinema’s bipartisan legislation reauthorizes the Project Safe Neighborhoods program, which plays a critical role in protecting Arizona communities and tribes from crime and gang violence. The Senator’s bipartisan bill empowers local leaders to collaborate with federal partners to address crime and foster safer neighborhoods, while sustaining the long-term reduction in violent crime in their communities. Sinema introduced the bill with a bipartisan group of Senate colleagues, including Senators John Cornyn (R-Texas), Gary Peters (D-Mich.), Chuck Grassley (R-Iowa), Thom Tillis (R-N.C.), Diane Feinstein (D-Calif.), and Ted Cruz (R-Texas).
 
In December 2021, the U.S. Department of Justice awarded an additional $370,000 to the District of Arizona for Project Safe Neighborhoods programs used in the state. The U.S. Attorney’s Office for the District of Arizona has partnered with various local, state, tribal, federal, and non-governmental agencies to identify high gun-crime areas and target its resources to combat violent offenders.
 
Sinema’s legislation is part of her work in keeping Arizona communities safe and secure. Earlier this year, Sinema’s Bipartisan Safer Communities Act addressing violence and mental health was signed into law. The Senator’s bipartisan law invests in support for state crisis intervention orders, children and family mental health services, protections for victims of domestic violence, funding for school-based mental health services – all the while not raising taxes on everyday Arizonans and respecting Americans’ Second Amendment rights."
https://www.sinema.senate.gov/sinema-examines-social-medias-impact-arizonas-border-security,"For a broadcast-quality HD clip, click HERE.
For an MP3 soundbite, click HERE.Senator highlighted during Senate Homeland Security Committee hearing how cartels recruit teenage Arizonans for smuggling operations through social mediaWASHINGTON – Arizona senior Senator Kyrsten Sinema examined social media’s impact on Arizona’s security during a Senate Homeland Security Committee hearing. The Senator specifically highlighted how cartels utilize social media to recruit teenage Arizonans for smuggling operations.
 
“Every day, cartels post on social media platforms and recruit teenagers in Arizona to act as drivers for illegal operations. Lured by the promise of easy cash, these teens – some as young as 14 – then take their parents’ cars to the border and participate in smuggling and trafficking… The Department of Homeland Security must do more to crack down on dangerous cartels’ use of social media, secure the border, and keep Arizona families safe,” said Sinema, Chair of the Border Management Subcommittee.
 
Sinema focused her line of questioning on how the algorithms used by social media platforms can amplify and promote cartel-sponsored content. The Senator highlighted that the lives of innocent bystanders and migrants are put at risk when these recruited teenagers flee law enforcement at high speeds.
 
The Senator asked TikTok and Meta executives about what their companies are doing to prevent these harms and stop cartels from using their platforms to recruit teenagers along Arizona’s border. During the hearing, the Senator secured a commitment from Meta, Twitter, TikTok, and YouTube to share cartel content with the U.S. Department of Homeland Security as quickly as possible.
 
Additionally, the Senator questioned representatives from TikTok, which is owned by a China-based company, about the real risk that the platform could alter its algorithm to promote or censor content on Beijing’s behalf – whether that means silencing voices critical of China or promoting conspiracies and extremist content. The Senator also pressed TikTok on whether it collects biometric data from Americans that could potentially be shared with China.
 
 "
https://www.sinema.senate.gov/senators-statement-bipartisan-respect-marriage-act,
https://www.sinema.senate.gov/sinema-seeks-strengthen-wireless-networks-protect-arizonans-privacy,"Senator and a group of bipartisan colleagues urged Senate leaders of both parties to bolster a critical program that strengthens national security and protects Arizonans and small businesses from unsafe broadband connectionsWASHINGTON – Arizona senior Senator Kyrsten Sinema and a bipartisan group of colleagues urged Senate leaders of both parties to strengthen the Secure and Trusted Communications Networks Reimbursement Program protecting Arizona families, small businesses, and critical infrastructure from unsecure broadband connections that put national security and their privacy at risk.
 
“Strengthening the Secure and Trusted Communications Networks Reimbursement Program is critical to protecting Arizonans’ privacy and shielding Arizona businesses from bad actors taking advantage of unsecured internet connections,” said Sinema.
 
The Federal Communications Commission’s Secure and Trusted Communications Networks Reimbursement Program allows small telecommunications providers to remove network equipment that may allow foreign interference. 
 
Currently, the Secure and Trusted Communications Networks Reimbursement Program faces a potential shortfall, leaving wireless networks – especially in rural areas – vulnerable to disruption from bad actors. Sinema is seeking to strengthen investments in this program that will allow the removal, disposal, and replacement of potentially compromised network equipment which can leave American wireless networks vulnerable to espionage and disruption.
 
Arizona’s critical infrastructure – including power plants, military bases, police stations, and fire houses – should not be at risk by using potentially suspect technology that could be compromised by foreign governments. Removing this suspect technology protects Arizona families and small businesses from having their personal information and privacy accessed by bad actors.
 
Click HERE to read Sinema’s bipartisan letter."
https://www.sinema.senate.gov/sinema-hualapai-chairman-clarke-discuss-legislation-securing-tribes-water-future,"Sinema introduced legislation delivering the Tribe’s water agreement
Sinema recently secured $4 billion for drought resiliency in the Inflation Reduction LawWASHINGTON – Arizona senior Senator Kyrsten Sinema and Hualapai Tribe Chairman Damon Clarke discussed Sinema’s Hualapai Tribe Water Rights Settlement Act – legislation that ratifies the Hualapai Tribe’s Colorado River water settlement agreement that delivers approximately 4,000 acre-feet of water per year to the Tribe – and her efforts securing $4 billion in drought resiliency in the recently signed-into-law Inflation Reduction Act. 
 
“Securing Arizona’s and the Hualapai Tribe’s water future is critical to our state’s economic success. I’m grateful for Chairman Clarke’s partnership and collaboration in delivering this goal,” said Sinema.
 
In July, Sinema introduced Chairman Clarke during a Senate Indian Affairs Committee hearing, where the Chairman testified in support of Sinema’s Hualapai Tribe Water Rights Settlement Act. Sinema’s legislation meets a historic moment after the Hualapai Tribe worked for a decade to secure an agreement with the U.S. Departments of State and Interior. Sinema’s Hualapai Tribe Water Rights Settlement Act approves Hualapai Tribe’s water rights claims, as well as other allottees in Arizona, and authorizes construction of a water project related to the water rights claims – delivering 4,000-acre feet of water per year.
 
Additionally, Sinema’s legislation establishes the Hualapai Water Trust Fund Account and the Hualapai Water Settlement Implementation Fund Account, with $180 million and $5 million, respectively, authorized until expended. These accounts are for construction, operations and maintenance, technical assistance, and environmental compliance costs associated with the pipeline from the Colorado River.
 
Currently, the Hualapai Tribe relies on groundwater alone to meet their water needs – which is not a permanent or sustainable solution. Sinema’s legislation provides a solution that would help meet the Tribe’s water needs.
 
While negotiating the Inflation Reduction Act, Sinema personally ensured a $4 billion investment in drought resiliency for Arizona and the entire American West. Sinema would not support the Inflation Reduction Act without ensuring the legislation included adequate climate resources to secure Arizona’s water and economic future."
https://www.sinema.senate.gov/sinema-meets-arizona-farm-bureau-receives-friend-farm-bureau-award-securing-historic-investments,"The Arizona Farm Bureau highlighted how Sinema’s work will alleviate agricultural challenges caused by the ongoing droughtWASHINGTON – Arizona senior Senator Kyrsten Sinema met with representatives from the Arizona Farm Bureau to discuss the needs and priorities of Arizona’s agricultural industry in light of the ongoing drought, recent water cutbacks, and the upcoming 2023 Farm Bill. 
 
During the meeting, the Arizona Farm Bureau presented Sinema with the “Friend of the Farm Bureau” award – a distinction she has earned twice before for her work supporting Arizona’s agriculture and, most recently, securing historic investments for drought resilience in the Infrastructure Investment and Jobs law and Inflation Reduction law.
 
“I’m grateful to hear about how we can continue partnering with Arizona’s farmers, ranchers, and agricultural leaders to deliver lasting results addressing the ongoing drought so they can continue growing and fueling our economy. I’m incredibly humbled to receive the Friend of the Farm Bureau award – and I look forward to continuing our partnership as we boost Arizona’s agricultural industry so it can continue to thrive for years to come,” said Sinema, co-author and lead negotiator of the Infrastructure Investment and Jobs law.
 
Per the 2007 Interim Guidelines and Drought Contingency Plan, Arizona will see a reduction of 592,000 acre-feet of Colorado River water next year, and Sinema has repeatedly heard concerns from farmers throughout the state about future water reductions. As it stands, Pinal County farmers are positioned to be among those hit hardest by the Drought Contingency Plan Tier 1 cuts, losing almost all of their Central Arizona Project water allocations. Last month, Sinema successfully secured a historic $4 billion for drought mitigation across the American West in the Senate-passed Inflation Reduction Act. Last year, Sinema co-authored and led negotiations for the bipartisan Infrastructure Investment and Jobs law, which makes historic investments in drought resilience.
 
During the meeting, representatives from the Arizona Farm Bureau thanked Sinema for her solutions-based approach in delivering drought resilience funding for Colorado River Basin states to address ongoing drought conditions, which are the worst they’ve been in 1,200 years.
 
In August, Sinema held a roundtable with Arizona farmers and ranchers from the Arizona Farm Bureau in Pinal County to discuss their priorities as she shapes the 2023 Farm Bill and implements the historic investments for the region from her bipartisan infrastructure law. In February, Sinema also hosted a roundtable discussion with Arizona farmers, ranchers, and agriculture leaders from the Arizona Farm Bureau on their infrastructure priorities.
 "
https://www.sinema.senate.gov/sinema-discusses-pandemic-response-improvements-senate-banking-committee-hearing,"For an MP3 soundbite, click HERE.Sinema highlighted her bipartisan Senate working group’s role in identifying and advancing solutions around risk-sharing and future pandemicsWASHINGTON – In a Senate Banking Committee hearing, Arizona senior Senator Kyrsten Sinema underscored the need for a faster, more efficient response to future pandemics. During the hearing, Sinema highlighted her bipartisan Senate pandemic risk working group’s role in creating and advancing an insurance framework that will reduce the price tag of any future pandemic response and address some of the waste, fraud, and abuse observed with respect to pandemic aid. 
 
“Our response to future pandemics needs to be leaner, faster, and smarter, and it is important to me that future responses are more fiscally responsible, as it is clear that the risk of overspending coupled with supply chain disruptions can trigger an inflationary response,” said Sinema, a member of the Senate Banking Committee. 
 
One of the witnesses in attendance was Commissioner Kathleen A. Birrane of the National Association of Insurance Commissioners, whom Sinema questioned about enhancing insurance affordability for small business owners in Arizona. Sinema expressed her preference for a solution that includes a framework allowing small businesses to purchase subsidized coverage so business owners know exactly how much coverage they are getting.
 
Additionally, Sinema shared with the witnesses her determination in identifying a bipartisan federal solution to insurance issues as they relate to future pandemic responses, ensuring any future response is thoughtful, targeted, and reflective of the concerns of Arizona businesses.
 
Last year, Sinema and her staff convened a bipartisan Senate working group with other members of the Senate Banking Committee to advance solutions around risk-sharing and future pandemics. Their goal is to improve the resiliency of the U.S. economy to future pandemic-related economic shocks by creating an insurance framework that brings forward the power of the private sector and provides business owners with choices to buy coverage that aligns with their needs and their risk tolerance.
 "
https://www.sinema.senate.gov/sinema-kelly-over-12-million-clean-water-funds-coming-arizona-bipartisan-infrastructure-law,"Infrastructure Investment and Jobs law led by Sinema and shaped by Kelly provides over $12 million in improving and protecting water quality in ArizonaWASHINGTON - Arizona Senators Kyrsten Sinema and Mark Kelly announced that $12,021,000 will be invested to strengthen Arizona’s clean water supply from the bipartisan Infrastructure Investment and Jobs law led by Sinema and shaped by Kelly.
 
The funds from the bipartisan infrastructure law were allocated to Arizona through the Environmental Protection Agency’s (EPA) Clean Water State Revolving Fund (CWSRF) program – a federal-state partnership that provides communities low-cost financing for a wide range of water quality infrastructure projects.
 
“As Arizona continues facing record drought conditions, a clean and safe water supply is crucial to securing our state’s future. The $12 million investment we secured from our bipartisan infrastructure law strengthens and protects Arizonans’ access to clean water, so communities and families across our state can continue to thrive,” said Sinema, co-author and lead negotiator of the Infrastructure Investment and Jobs law.
 
“Clean water is critical for communities across our state and our economy, especially as we deal with a historic drought. That’s why we made water a priority in the bipartisan infrastructure law, and now these funds will support the construction of water projects across Arizona,” said Kelly.
 
Sinema led bipartisan Senate negotiations with Republican Senator Rob Portman of Ohio that included Senator Kelly and senators from both parties.
 
The bipartisan Infrastructure Investment and Jobs law makes the strongest investment in clean drinking water and wastewater infrastructure in U.S. history, delivering clean water to millions of American families – and more than $8 billion to strengthen water infrastructure throughout the American West, such as aging infrastructure, water storage, water recycling, drought contingency plans and dam safety.
 
In 2022 alone, Arizona will receive $109 million in funding from the Environmental Protection Agency to address clean and drinking water systems, update wastewater infrastructure, and help clean-up water contaminants like PFAS in communities across the state.
 
The bipartisan infrastructure law was supported by groups including The U.S. Chamber of Commerce, Business Roundtable, The National Association of Manufacturers, The AFL-CIO, The National Retail Federation, The Bipartisan Policy Center, North America’s Building Trades Unions, the Outdoor Industry Association, The American Hotel and Lodging Association, The National Education Association, as well as hundreds of mayors across all 50 states.
 
 "
https://www.sinema.senate.gov/sinema-kelly-fresh-start-womens-foundation-awarded-over-500k-expand-job-opportunities-arizona-women,
https://www.sinema.senate.gov/sinema-kelly-announce-over-46-million-award-arizona-clean-energy-low-carbon-manufacturing-research,"These awards will invest in research projects led by Northern Arizona University, Arizona State University, and University of ArizonaWASHINGTON – Arizona Senators Kyrsten Sinema and Mark Kelly announced over $4.6 million were awarded for clean energy and low-carbon manufacturing research projects in Arizona. These awards will invest in research projects led by Northern Arizona University, Arizona State University, and University of Arizona.
 
“Arizona’s growth depends on continued clean air and a strong water supply. Today’s grant awards will fuel research and innovation to address our biggest challenges and improve climate change, bolster clean energy technologies, and support low-carbon manufacturing,” said Sinema.
 
“Today’s investments will boost research into renewable energy solutions and grow Arizona’s position as a leader in innovation. I’ll continue working with Republicans and Democrats on solutions that strengthen American energy independence, lower costs, and create more great paying Arizona jobs,” said Kelly who serves on the Senate Committee on Energy and Natural Resources.
 
These research projects were chosen by competitive peer review to scientific institutions to identify solutions to the climate crisis, clean energy technologies, low-carbon manufacturing, and other national priorities.
 
Below are the recipients of the awards:"
