url,text
http://www.whitehouse.senate.gov/news/videos/watch/sen-whitehouse-on-sea-level-rise-in-rhode-island-in-an-epw-committee-nominations-hearing,"
                September 14 | Sen. Sheldon Whitehouse (D-RI) discusses sea level rise in Rhode Island communities, coastal resiliency, and low carbon transportation materials during a Senate Environment and Public Works Committee Hearing for Shailen P. Bhatt to be Administrator of the Federal Highway Administration of the Department of Transportation.
                "
http://www.whitehouse.senate.gov/news/videos/watch/sen-whitehouse-joins-the-last-word-to-discuss-claims-of-political-interference-from-trumps-doj,"
                September 14 | Senator Sheldon Whitehouse (D-RI) joins The Last Words with Lawrence O'Donnell to discuss the Senate Judiciary Committee investigation of allegations that the Justice Department under Trump sought to use the U.S. Attorney’s Office in Manhattan to prosecute Trump critics and protect the former president and his allies.
                "
http://www.whitehouse.senate.gov/news/release/ri-delegation-announces-major-825-million-grant-to-upgrade-iconic-pell-bridge,"Providence, RI – U.S. Senators Jack Reed and Sheldon Whitehouse and Congressmen Jim Langevin and David Cicilline today announced an $82.5 million grant from the U.S. Department of Transportation’s INFRA Grant Program to upgrade the iconic Pell Bridge that connects Newport and Jamestown.  Planned improvements to the deck, suspension system, and towers will extend the life of New England’s longest suspension bridge by an additional 50 to 75 years.“The Newport Pell Bridge is a critical asset that gets a lot of wear and tear from traffic and the elements.  We must take proper care of it and that means proactive planning and maintenance.  I was pleased to help kick-start the bridge ramp realignment project with a $20 million federal grant in 2018.  This new INFRA grant will support RITBA’s efforts to properly maintain the bridge, improve safety, and extend its lifespan,” said Senator Reed, a senior member of the Appropriations Subcommittee on Transportation, Housing and Urban Development (THUD) who worked with his colleagues to include $7.25 billion for competitive INFRA grants and $7.5 billion for competitive Rebuilding American Infrastructure with Sustainability and Equity (RAISE) grants in the Infrastructure Investment and Jobs Act.“I helped create the INFRA program to meet the need for major, once-in-a-generation investments like rebuilding the Pell Bridge,” said Whitehouse, who authored the INFRA Program in 2015 to help meet Rhode Island’s need for large-scale infrastructure investments.  “The Pell Bridge is the Ocean State’s most iconic landmark, and we will be able to keep it that way for at least an additional half century thanks to this enormous federal grant.  There is much to be done to bring the bridge into the twenty-first century.” “The Pell Bridge is one of Rhode Island’s most iconic landmarks, and it’s also an integral piece of our infrastructure. Connecting Aquidneck and Conanicut Islands, the bridge carries tens of thousands of passengers over Narragansett Bay each day.  It’s critical that Rhode Islanders and tourists alike can make that journey safely and efficiently,” said Congressman Langevin.  “I am thrilled that funding from the Bipartisan Infrastructure Law will allow us to keep the Pell Bridge in pristine condition.”“The Pell Bridge isn’t just critical infrastructure for Rhode Islanders, it’s an icon that has earned its place on the National Register of Historic Places,” said Congressman Cicilline.  “To ensure that this resource is available to Rhode Islanders and visitors for years to come, we need to invest in and modernize the bridge now so that we can return it to a state of good repair while reducing long-term costs and improving safety.  The Pell Bridge is a prime example of the types of projects that the bipartisan infrastructure law was designed to support and fund.  I’m looking forward to an extended, long life for this Rhode Island icon.”The project will include a partial depth replacement and rehabilitation of the bridge deck in the main suspended and west approach spans.  Climate change has led to more severe storms and more frequent use of salt and other treatments to make the road safe for travel, accelerating the loss of pavement quality.  The new pavement will be made of a denser material that is more resistant to the effects of chemical deterioration.Increased humidity from climate change is also accelerating the need to repair the main cables, suspenders, and other elements of the suspension system.  While the cables and suspenders are currently safe, inspection data points to an accelerating pace of deterioration.  The funding will be used to install a de-humidification system to reduce moisture levels within the cables and anchorages, and halt the corrosion process.  The suspender ropes and other elements will be replaced when needed, helping preserve the main cable for an additional 75 years of useful life.Funding will also be used to repair the tower elevators, replace the finger joints that accommodate movement in the bridge, and repaint the towers.  Acoustic monitoring will provide data on the bridge’s condition and additional cameras and sensors will provide greater physical security.“The Newport Pell Bridge serves as a vital connector for health care services, education, mutual aid among public safety departments, access to jobs, work sites and housing, and as a connector for commuters between the Greater Providence area and Newport County,” said Governor Dan McKee.  “This critical grant will help us protect the iconic Newport Pell Bridge from climate change while the completion of the bridge decking and painting of the towers will return the bridge to a state of good repair – bettering the lives of Rhode Islanders and the industries that support our state.  I thank our Congressional Delegation for securing this funding from the Biden Administration.”The Pell Bridge opened in 1969 and was dedicated in honor of the late U.S. Senator Claiborne Pell.  The bridge, which carries four lanes of traffic across Narragansett Bay, is operated by the Rhode Island Turnpike and Bridge Authority. “Governor McKee and his administration have coordinated the state’s approach to infrastructure, which puts Rhode Island in a strong place to compete for significant federal grants like this INFRA grant.  Our Congressional Delegation has shown once again that Rhode Island punches well above its weight,” said Lori Caron Silveira, Executive Director of the Rhode Island Turnpike and Bridge Authority.  “This investment from the U.S. Department of Transportation will accelerate and expand planned maintenance and extend the life of the iconic Newport Pell Bridge by an additional 50 to 75 years.  With collaboration across state government, leadership from our federal team, and support from private sector partners and organized labor, we are confident that this is only the beginning.”In 2018, the delegation secured $20 million in federal funding to upgrade the ramps leading from Aquidneck Island to the Pell Bridge.The bipartisan infrastructure law passed late last year included $7.25 billion for the INFRA program over five years.  First authorized in 2015 as the FASTLANE grant program, the INFRA discretionary grant program provides funding from the U.S. Department of Transportation for large-scale highway and multimodal projects that might otherwise stall without additional federal support.  Rhode Island previously received a $60.3 million INFRA grant to rebuild the Northbound Providence Viaduct and a $65 million INFRA grant to overhaul Route 146.Chip Unruh (Reed), (202) 224-4642Meaghan McCabe (Whitehouse), (401) 453-5294Matt Fidel (Langevin), (202) 631-1010Jennifer Bell (Cicilline), (202) 365-0827"
http://www.whitehouse.senate.gov/news/release/whitehouse-grassley-lead-senate-caucus-in-issuing-report-on-strategies-to-combat-money-laundering-by-drug-cartels,"Washington, DC – Senators Sheldon Whitehouse (D-RI) and Chuck Grassley (R-IA), the Chairman and Co-Chairman of the Senate Caucus on International Narcotics Control, today released a bipartisan report entitled: Strengthening U.S. Efforts to Attack the Financial Networks of Cartels.  The report offers recommendations for Congress and the Biden administration to reduce the supply of illicit drugs by closing loopholes in the U.S. anti-money laundering (AML) framework that enable narcotics traffickers to obscure and access their illicit proceeds. “Drug traffickers exploit weaknesses in our laws to run multi-billion dollar criminal enterprises that have caused hundreds of thousands of American drug overdose deaths and immense pain in Rhode Island and across the nation,” said Whitehouse.  “Our report outlines necessary reforms to crack down on the financial trickery that cartels and other criminals engage in.  When implemented, these reforms will reduce the supply of illicit narcotics by better enabling the U.S. to attack the sophisticated financial networks that allow drug cartels to thrive.”“Drug cartels are exploiting our borders to flood the nation with deadly drugs, and they’re reaping huge profits on the pain and suffering they inflict.  Our report examines how the federal government can better target and dismantle the flow of their ill-gotten gains.  Reducing the financial incentive for drug traffickers to operate in the United States is an important step in our effort to crack down on the illicit drug epidemic and fight addiction.  As the report highlights, a key component in that fight is enacting the Combating Money Laundering, Terrorist Financing, and Counterfeiting Act of 2022 that Senator Whitehouse and I sponsored,” Grassley said.Senate Caucus on International Narcotics Control members Richard Blumenthal (D-CT), Maggie Hassan (D-NH), Ben Ray Luján (D-NM), and James E. Risch (R-ID) have also endorsed the report, which includes the following recommendations:The report further includes additional views from Chairman Whitehouse, which detail additional actions the Biden administration should take to close regulatory loopholes.  Specifically, Whitehouse recommends that the administration bolster AML safeguards in the U.S. property market and extend strong AML reporting requirements to gatekeepers of the U.S. financial system by:The Senate Caucus on International Narcotics Control has a long history of working on a bipartisan basis to crack down on illicit drug trafficking globally, while expanding addiction prevention, treatment, and recovery services at home.  As Chairman of the Caucus, Whitehouse has held hearings to examine: the role of the federal government in attacking the financial networks of cartels; corruption associated with the illicit drug trade; and how drug cartels have adapted their production, trafficking, and finance schemes for the 21st Century.A PDF of the full report is available here.  Meaghan McCabe (Whitehouse), (401) 453-5294Taylor Foy (Grassley), 202-224-6708"
http://www.whitehouse.senate.gov/news/videos/watch/sen-whitehouse-and-lawrence-odonnell-discuss-the-right-wing-scheme-to-capture-the-supreme-court,"
                September 14 | Senator Sheldon Whitehouse (D-RI) joins MSNBC's The Last Word with Lawrence O'Donnell to discuss his ""Scheme"" speech series, exposing the machinations by right-wing donor interests to capture the U.S. Supreme Court and achieve through the Court what they cannot through the elected branches of government.
                "
http://www.whitehouse.senate.gov/news/release/with-reed-and-whitehouses-backing-us-senate-confirms-lara-montecalvo-for-1st-circuit-court-of-appeals,"WASHINGTON, DC – Today, the U.S. Senate confirmed Lara E. Montecalvo’s nomination to serve on the U.S. Court of Appeals for the First Circuit by a bipartisan vote of 52-47. Montecalvo, who has led the office of the Rhode Island Public Defender since 2020, was nominated by President Joe Biden in April to fill the vacancy created by Judge O. Rogeriee Thompson announcing her plan to assume “senior status,” which means she will soon begin hearing cases on a more limited basis. Montecalvo’s nomination received strong backing from U.S. Senators Jack Reed and Sheldon Whitehouse, who advocated for her confirmation on the Senate floor.“As the state’s public defender, Lara Montecalvo served the people of Rhode Island well.  I am confident she will continue to do so on the federal bench.  She has dedicated her legal career to public service and we are fortunate to have a judge with her expertise and background on one of our nation’s most important courts,” said Senator Reed.“Congratulations to soon-to-be Judge Montecalvo on earning bipartisan approval from the Senate.   She is extremely well-respected in Rhode Island’s legal and law enforcement communities.  I know she will be a strong voice for justice and fairness on the First Circuit,” said Senator Whitehouse, a senior member of the Senate Judiciary Committee.The U.S. Court of Appeals for the First Circuit is based in Boston.  Judges have court chambers in different states and Montecalvo’s chambers will be in Providence, Rhode Island.  The First Circuit hears appeals of federal cases from Rhode Island, Maine, Massachusetts, New Hampshire, and Puerto Rico.  The First Circuit is one of thirteen federal appellate courts that sit one rung below the U.S. Supreme Court. Montecalvo has over twenty years of legal experience at the state and federal level.  A Swarthmore College graduate who went on to attend Boston College Law School, where she graduated magna cum laude in 2000, Montecalvo worked as a trial lawyer with the U.S. Department of Justice for almost four years, focusing on civil tax matters in federal courts before joining the Rhode Island Public Defender’s Office in 2004.  Before being confirmed as the state’s Public Defender, Montecalvo served as Chief of the Appellate Division of the Rhode Island Public Defender’s Office.Now that Montecalvo has been confirmed by the full U.S. Senate, she must be sworn in and take the oath of office before she can begin hearing cases.  Once she is sworn in, she will become the First Circuit’s tenth judge, and third Rhode Islander – joining both Bruce M. Selya, who assumed senior status in 2006, and O. Rogeriee Thompson. The other judges on the First Circuit are: David J. Barron (chief judge), Norman H. Stahl, Sandra L. Lynch, Kermit V. Lipez, Jeffrey R. Howard, William J. Kayatta, Jr., and Gustavo A. Gelpí.Chip Unruh (Reed), 202-224-4642Meaghan McCabe (Whitehouse), 401-453-5294"
http://www.whitehouse.senate.gov/news/speeches/scheme-18_leonard-leos-16-billion-payday,"This is the 18th time that I have come to the floor to expose the dark money scheme that has captured and controlled our Supreme Court. Over the last 2 years, I have, over and over, exposed how dark money operatives, working from the shadows, have installed Supreme Court Justices handpicked—handpicked—by the minions of far-right donors. I have exposed the key front groups through which this Court-packing operation is driven and the tactics that the schemers have used to hide the dark money donors who pull its strings. And when you take a close look at the scheme, the little spider that you find at the center of the dark money web behind it is a character named Leonard Leo.From his perch at the dark money-funded Federalist Society, Leo crafted a reputation as the Court-capture scheme’s puppet master. The key to his craft is an armada of phony front groups that shuffle dark money back and forth, around and amongst each other, to deploy as spin, as propaganda, as political ads, or as hidden campaign funding.During Donald Trump’s time in office, Leonard Leo brokered the scheme to have the Federalist Society or— more accurately—the big secret donors behind the Federalist Society handpick Trump’s Supreme Court nominees. Remember that list we all heard about? Leo coordinated the dark money propaganda machine that kept the heat on Senate Republicans to confirm those nominees, and he supported the big donors’ doctrine factories where donor-approved fringe legal doctrines are concocted for the anointed judges to weaponize from the Bench. Look no further than the recent West Virginia v. EPA decision weaponizing the doctrine factory-concocted major questions’ doctrine. And this was no small scheme. The latest estimate from earlier this year is that these big donors put $580 million, more than half a billion dollars, into Leo’s network of Court-capture front groups.Well, little did we know, that was just the beginning.Last month, ProPublica and the New York Times broke the news that a reclusive, far-right billionaire supercharged Leo’s dark money operation with a $1.6 billion donation to a Leo front group. You heard that right, $1.6 billion into this dark money operation.The man behind this new slush fund is a billionaire named Barre Seid, and even the way the donation was made was creepy and clandestine. Seid and Leo devised a plan to transfer all the shares in an electronics company to Leo’s front group, on the way to selling that company. So when that company sold for $1.6 billion, it all went straight to Leo’s group and, by the way, helped Seid avoid what would have been roughly $400 million in taxes. Seid has a long history of funding far-right front groups. Here is how ProPublica characterized what Seid calls his ‘‘attack philanthropy:’’“Seid has funded climate denialism as well as a national network of state-level think tanks that promote business deregulation and fight Medicaid expansion. He’s also supported efforts to remake the higher education system in a conservative mold, including to turn one of the nation’s most politically influential law schools into a training ground for future generations of rightwing judges and justices.”So let’s unpack all of that, starting with the climate denialism. The ‘‘climate denialism’’ that they are referencing came from a group that he funded called the Heartland Institute. I have talked about the Heartland Institute on the floor before in my ‘‘Web of Denial’’ speeches. Heartland is a dark money disinformation mouthpiece for fossil fuel interests. In 2012, Heartland compared climate scientists to the Unabomber. So you can see it is a classy bunch. According to one of Seid’s advisers, he was Heartland’s major patron, and he even convinced his business’s chief financial officer to join Heartland’s board of directors.If that isn’t creepy enough for you, we move on to the national network of state-level think tanks that promote business deregulation and fight Medicaid expansion. That is a reference to the State Policy Network, a web of dark money front groups that pump into State legislatures the propaganda and legislation designed by fossil fuel and other corporate interests. The State Policy Network has also received millions from Donors Trust, which has been called the ‘‘dark money ATM of the right,’’ a central node of the rightwing Koch dark money network.The service that DonorsTrust provides is to scrub the identities of actual donors. It creates dark money. Anonymity is key for these donors, many of whom have financial interests behind their political schemes that they really don’t want disclosed. If a fossil fuel billionaire, say, wants to run ads against me in Rhode Island—folks will get the joke. So the real donor’s identity gets laundered through groups like DonorsTrust and comes out under other groups with names like—I am making this one up, but they sound this way ‘‘Rhode Islanders for Peace and Puppies and Prosperity.’’ All of that, of course, leaves citizens in the dark about both the actors and the plot in the politics in which they are supposed to be active participants.And that brings us to Seid’s project to ‘‘turn one of the nation’s most politically influential law schools into a training ground for future generations of right-wing judges and justices.’’ That is a reference to Antonin Scalia Law School at George Mason University, a central cog in the right-wing doctrine factory.The cog was not always named Antonin Scalia Law School. In 2016, George Mason received $10 million from the Charles Koch Foundation, plus another $20 million from an anonymous donor, orchestrated by that same Leonard Leo, and one of the strings attached was that George Mason rename its law school after Scalia.When folks at George Mason University, a public university, pushed for answers about all of this, the university, after a legal battle, had to disclose that renaming the law school wasn’t the only string attached to that $20 million donation. Leo and his donor wanted input over faculty hiring. And that legal battle also unearthed the name of the anonymous donor: Barre Seid.And all of that brings us back to Seid’s $1.6 billion to the Leonard Leo dark money apparatus. Remember that with $0.6 billion, Leo was able to orchestrate a dark money takeover of our Supreme Court, stacking it with far-right Justices, who have already delivered massive victories for their donors: overturning Roe v. Wade, undermining the government’s power to combat climate change, throwing out century-old commonsense gun regulations. If he can do that with $0.6 billion, imagine what kind of damage he will be able to do with $1.6 billion to squirt out as dark money through his armada of phony front groups.Leo’s already dispensed $153 million to Rule of Law Trust, which appears to exist solely to funnel money to other dark money groups and another $16.5 million to his own Concord Fund. If you have been watching these ‘‘Scheme’’ speeches, you will remember that the last time I addressed the scheme in this Chamber, I laid out how the Concord Fund and its corporate twin, the 85 Fund, are the central nodes in a collection of phony front groups that deploy fictitious names, fictitious names to mask their connections. The coordinated and colocated front groups, Concord Fund and 85 Fund, operate through the fictitious names Judicial Crisis Network and Honest Elections Project, among other fictitious names. So, yes, you have got this right. In this dark money netherworld, the front groups have front groups.With this new billion-dollar slush fund, Leo can take those efforts to entirely new levels: more voter suppression, which is the job of Honest Elections Project; more abortion bans, which was the accomplishment of Dobbs; more climate denial, which was powered by West Virginia v. EPA and the earlier EPA decision by the Supreme Court about the Clean Power Plan; more power for corporations, which is, of course, the constant goal of this dark money operation; more disinformation; and more dirty dark money in politics—sluiced around inside this covert apparatus until it gets squirted out through even more phony front groups.This dark money slime will ooze everywhere. With pivotal elections coming up this fall, this slime will ooze out through your television sets, through your mailboxes, through your telephone, all of it designed to smear and lie to benefit far-right donor interests. The phony front group squirting out the slime will have innocuous-sounding names, but make no mistake, hiding behind many of them will be Leo and his secretive billionaire backers.While this tactic isn’t new, it has been perfected by the rightwing. It began with the Koch brothers, who spent the last decade pumping dark money into our politics, producing a decade of successful climate obstruction, until finally we got the Inflation Reduction Act passed with the first real climate measures Congress has ever passed, but because of the Koch brothers’ pressure, we had to rely entirely on Democrats to get that bill passed. We did not get one Republican vote in the Senate. We did not get one Republican vote in the House.Constant assaults on workers’ rights, endless attacks on the Affordable Care Act, and, of course, the rightwing billionaires own big payoff, big tax cuts for billionaires—it is probable that for all of the money that got thrown into this dark money apparatus by rightwing billionaires, some of them probably made more money than that back from the tax cuts that were delivered for them under the Trump administration. This is a it-pays-to-play dark money operation. And the result is that all this dark money has reduced the once Grand Old Party to the political operation of a handful of extremist megadonors.The dark money assault on our democracy is not over. Right now, Leonard Leo, his rightwing donors, and their dark money apparatus are devising the next phases of the scheme. They have already captured the highest Court in the land, but they will not stop until they have enacted their entire radical agenda. They will turn their sights on State courts, on city councils, on local school boards—anywhere they can find a way to subvert democracy with dark money.So now is the time to fight back, and the first step is to pass the DISCLOSE Act. It is way long past time that we shine the light on the dark money schemers. You may recall that in the Citizens United decision, by a vote of 8 to 1, even that Court said that dark money is corrupting. That is an established principle of the Citizens United decision. Well, if it is corrupting, we ought to get rid of it, because the American people deserve to know who captured their Supreme Court and who keeps flooding our politics with dark money. When you spend that kind of money, there is a motivation, and voters, citizens, deserve to know.To be continued."
http://www.whitehouse.senate.gov/news/videos/watch/sen-whitehouse-talks-cybersecurity-with-a-whistleblower-from-twitter-in-a-judiciary-hearing,"
                September 13 | Senator Sheldon Whitehouse (D-RI) talks cybersecurity with whistleblower Peiter “Mudge” Zatko, a data security expert and former head of security at Twitter.
                "
http://www.whitehouse.senate.gov/news/release/whitehouse-joins-president-biden-for-ceremonial-inflation-reduction-act-bill-signing,"Washington, DC – U.S. Senator Sheldon Whitehouse today joined President Joe Biden at the White House to take part in a ceremonial bill signing for the Inflation Reduction Act, landmark legislation that will lower energy and health care costs for Rhode Islanders, and drive down the emissions causing the climate crisis.  All 50 Senate Democrats and Vice President Harris voted last month to pass the Inflation Reduction Act.“I’m thrilled to join President Biden for this historic occasion.  Our Inflation Reduction Act will lower Rhode Islanders’ energy and health care bills and create good jobs in the Ocean State.  With this new law, Democrats have allowed Medicare to finally begin negotiating drug prices, and we’ve gotten billionaires and the wealthiest corporations to start paying a fairer share,” said Whitehouse.  “I worked tirelessly to help shape major climate components of the bill, which are expected to significantly increase the rate of emissions reductions.  While there’s still much more to do to lead the planet to safety in the race against climate change, momentum is on our side today.”The major climate provisions developed by Whitehouse or modeled after legislation he authored include a suite of clean energy programs that Whitehouse helped shape in the Finance Committee, including the provision to incentivize the production of sustainable aviation fuel and the provision to increase the 45Q tax credit for carbon capture and sequestration.  The legislation also contains other major climate provisions modeled on legislation authored by Whitehouse, including grant programs inspired by the Senator’s Clean Industrial Technology Act to decarbonize emissions-heavy sectors and a methane reduction program for oil and gas facilities that grew out of Whitehouse’s methane fee proposal.From capped prescription drug costs for seniors to substantial rebates for efficient home appliances and retrofits to lower health insurance premiums, Rhode Islanders will soon see the results of the Inflation Reduction Act up close.  By insulating consumers from volatile fossil fuel prices, the average household is expected to see $170-$220 in annual savings from reduced electricity costs.  Households that take advantage of the various tax credits in the Inflation Reduction Act will see even larger savings, as their heating and transportation costs decline.Whitehouse-backed measures in the bill include: Health CareEnergy Transportation Progressive Tax ReformsEnvironment and Environmental JusticePresident Biden officially signed the Inflation Reduction Act into law on August 16.Meaghan McCabe, (401) 453-5294"
http://www.whitehouse.senate.gov/news/videos/watch/the-scheme-18-leonard-leos-16-billion-payday,"
                September 13 | Senator Sheldon Whitehouse (D-RI), Chair of the Senate Judiciary Courts Subcommittee, delivers the eighteenth in a series of speeches titled “The Scheme,” exposing the machinations by right-wing donor interests to capture the U.S. Supreme Court and achieve through the Court what they cannot through the elected branches of government.  

Whitehouse sheds light on the $1.6 billion donation from reclusive far-right billionaire Barre Seid to Leonard Leo’s dark-money network.  Leo’s operation is at the center of the dark-money takeover of the Supreme Court.  Whitehouse exposes Seid and Leo as key cogs in the right-wing dark-money ecosystem that now has at least $1.6 billion at hand to corrupt democracy.
                "
